## ACTIVE GENE SELECTION CRITERIA based on... 
# (1) riboZero RNA can be detected reliably for differential expression analysis 
## i.e. min. average of 3 t.p.m. over 3 consecutive time points (~30 min intervals) UP TO STAGE 13 (~12 hpf) 
# (2) RNAPII ChIP enrichment conditions (covering at least 80% of the genebody): 
## 2.6-fold at this stage OR 
## 1.8-fold at this stage AND 1.4-fold at next or previous stage OR 
## 1.4-fold at this stage and 1.8-fold at next or previous stage OR 
## 1.4-fold at this stage and 1.4-fold at next two stages 
# (3) optional: H3K4me3 mark within genebody 

## rzRNA data selection for RNAPII ChIP: 
## +/- 1h from ChIP time point, min. average of 0.1 t.p.m. (=detection limit) over 3 consecutive time points 

## ZYGOTIC GENOME ACTIVATION: 
# Total number of genes with transcripts: 12302 
# Number of activated genes at this stage: 117 
# Percentage of genes that activated at this stage: 0.951064867501219 

scaffold	start	end	gene.length	pol2.6.mean	pol2.7.mean	pol2.8.mean	pol2.8p.mean	pol2.11.mean	pol2.12p.mean	tu.st8p.toInput	tu.st10p.toInput	maternal.tpm	h3k4me3	h3k36me3
Xetro.D01520|	scaffold_4	81976692	81977768	1077	1.54142857142857	15.6430158730159	74.1600000000001	151.294642857143	115.706349206349	61.7624007936508	0.834714350872499	2.05572765969924	1.95327566902326	0	0
Xetro.K04277|	scaffold_3578	544	2709	2166	1.83670239728386	15.6009832917579	80.7509754439793	1.87409829172722	0.395273639828807	0.67888083444381	6.77985284991376	5.75767547716561	0.0155301702174162	1	1
Xetro.F01956|znf3	scaffold_6	141633783	141635624	1842	1.57772047962428	15.1604421603108	53.2174624382663	1.2697941746723	0.813469613767097	0.571612501480115	9.91506514500015	4.35780284886658	2.70749281530081	0	0
Xetro.K01109|	scaffold_75	295026	295754	729	1.20300483829896	14.308184364655	53.9567532467532	137.118655462185	78.4252610134963	72.9552457346575	3.1798641938	2.28178705870397	19.8343762968133	1	0
Xetro.F01952|znf33b	scaffold_6	141574441	141575316	876	1.39948639851297	13.7664056071572	51.8664934207784	1.30329334647082	0.845802035042819	0.816120634402049	10.8808202162151	10.8782255325752	0	1	1
Xetro.K01343|hes7.1	scaffold_100	122085	123574	1490	2.0526005484367	13.6835029017918	54.2681202729083	3.26707116362602	3.07304092272284	4.9522390370312	3.70984155943333	8.87700580324674	638.78838514227	1	1
Xetro.G01219|	scaffold_7	68199493	68199928	436	1.6456527495086	11.8509261588256	13.1460070665531	10.3865714438639	3.63386998230976	2.91711378435606	NA	NA	0	1	0
Xetro.K00650|	scaffold_38	585074	586071	998	2.50180711531956	11.225801370724	77.1660352802037	227.514536580196	115.675254789878	91.191060851513	NA	NA	2.76628490882713	1	0
Xetro.H01364|	scaffold_8	66306709	66315112	8404	1.65052933639081	11.0572745102035	10.8579569623802	5.49613027156366	2.24613615759107	1.55084679723293	NA	NA	0.0532432866434364	1	1
Xetro.F01939|	scaffold_6	141400727	141401890	1164	1.17423101962714	10.5954423577088	78.1883163673673	1.54469206502142	2.8558505454935	2.65397635100136	11.6649657281151	4.30112066895407	0.126953755507915	0	0
Xetro.F01946|	scaffold_6	141494325	141496655	2331	0.971272156372468	10.1383742191066	68.9567335333875	1.27714213604983	0.360418322131956	0.531396317970223	8.87014748796841	3.66176489383928	0.441599493326253	1	0
Xetro.K01099|	scaffold_75	231636	232524	889	2.22665840580679	10.0413322071152	90.3991284607058	175.144232322131	134.806872469828	148.222740246117	NA	NA	1.12755718152545	0	0
Xetro.F01945|znf470	scaffold_6	141486479	141492048	5570	1.73321586607023	9.35656714649006	52.0901317343183	1.18740233127235	0.847180990927993	0.657068046894826	10.741089067373	8.58329746308993	1.58281408923872	1	1
Xetro.F01936|	scaffold_6	141383687	141386544	2858	1.29300784553737	8.16139080605547	55.8216332226194	1.34287901750613	0.997169644639825	0.741489385586247	9.69173919354353	5.85710620369015	2.26054898879993	1	1
Xetro.F01940|	scaffold_6	141413065	141413799	735	1.27214995212179	8.16097445938902	65.4058632057462	0.591393489317633	0.529118525157112	0.639667792478746	9.61186222216817	5.81849760908975	0.182352532331346	1	1
Xetro.K01107|hist2h2be	scaffold_75	290851	292621	1771	1.84348735958316	7.86632527479006	62.1746601100059	181.004716352603	102.037537070605	111.657871248196	NA	7.21356687795366	1.27480446550761	1	0
Xetro.F01951|znf350	scaffold_6	141564230	141565555	1326	1.68862421275453	7.59441462669127	50.3651699468632	1.41089463700002	0.839063244880147	0.789119594544398	9.43590135768912	7.71270286818322	0.134501532415074	1	1
Xetro.K05052|	scaffold_8c	3127324	3128367	1044	2.32079804840636	7.56448529638378	48.0245312998237	146.592990905949	85.0121015370106	113.611335638521	6.96390258442199	4.79573814916766	13.1632294400324	1	0
Xetro.F01957|	scaffold_6	141647487	141649751	2265	0.897442972162435	7.40830746592784	36.8310064004925	1.35010594335035	1.11884031829823	1.16411869191961	9.61186222216817	3.191080517507	40.5981802773835	1	1
Xetro.G01627|hes2	scaffold_7	93969321	93971178	1858	1.3685631867662	7.27986610603634	27.5325603258456	5.78284322318281	2.07134914468044	1.63463621358635	NA	NA	0.389450934713524	1	0
Xetro.F01943|znf665	scaffold_6	141464395	141469874	5480	1.35165606459953	6.73470290991238	45.8384772064681	2.40659837329485	0.707917183235503	0.938403332724214	10.8531707923828	6.21722878354734	0.626631275019056	0	0
Xetro.D01899|klf17	scaffold_4	100912127	100915192	3066	0.899032055528805	6.34656265873416	78.1471957366222	36.0983058646604	44.6090047840353	34.8834722396661	17.6525162354079	7.29140904299576	1.08989316197849	1	1
Xetro.D00642|	scaffold_4	33074376	33079000	4625	1.25419208788005	6.31471537718385	56.0725980197657	36.1305905035768	1.18256790420523	0.919586310766217	14.4049860551414	6.3835365007543	2.69657484772505	1	1
Xetro.J00801|gs17	scaffold_10	30771561	30775854	4294	1.44537049312084	6.23127167747675	54.0565134801679	153.195064361273	35.1876762665518	15.2088345750065	13.2461827459521	7.21776705275482	0.225247901824472	1	1
Xetro.D01570|	scaffold_4	82514878	82518836	3959	1.02179911006597	5.82937060747321	35.8119146173104	28.1592399875945	4.7504810660352	2.79330791729048	12.6693363238091	7.90622914337538	0.0920681493712288	1	1
