"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0010467",1.09585533493002e-05,1.31974782274849,1041.01511597602,1107,1925,"gene expression"
"2","GO:0043967",4.39405018511408e-05,4.09008345606284,24.8762053687777,38,46,"histone H4 acetylation"
"3","GO:0016070",5.55813575081658e-05,1.28918036336536,943.132655720615,1003,1744,"RNA metabolic process"
"4","GO:0016573",9.84564236008418e-05,2.33109533857664,51.9155590304926,70,96,"histone acetylation"
"5","GO:0034645",0.000141860926452244,1.26931507054265,950.703674745895,1007,1758,"cellular macromolecule biosynthetic process"
"6","GO:0016570",0.000167921322144523,1.72095282941304,110.861350013031,136,205,"histone modification"
"7","GO:0018393",0.000168541320036039,2.2434654105477,52.4563461037269,70,97,"internal peptidyl-lysine acetylation"
"8","GO:0018205",0.000173774162803138,1.86162601626016,84.9035704977847,107,157,"peptidyl-lysine modification"
"9","GO:0031326",0.000176655450210938,1.27678618523823,744.663799843628,798,1377,"regulation of cellular biosynthetic process"
"10","GO:0043968",0.00017930509931892,Inf,7.57101902528017,14,14,"histone H2A acetylation"
"11","GO:0009889",0.000185883560529609,1.27542101177821,746.826948136565,800,1381,"regulation of biosynthetic process"
"12","GO:0010468",0.000200811143738606,1.26684474080558,834.975241073756,889,1544,"regulation of gene expression"
"13","GO:0009059",0.000222058243027045,1.25953472904692,954.489184258535,1009,1765,"macromolecule biosynthetic process"
"14","GO:0016569",0.000260957875406446,1.6836509251588,112.483711232734,137,208,"covalent chromatin modification"
"15","GO:0006475",0.000281174414435977,2.16209476309227,52.9971331769612,70,98,"internal protein amino acid acetylation"
"16","GO:0032259",0.000310368429445768,2.17719463359722,51.3747719572583,68,95,"methylation"
"17","GO:0018394",0.000457691895576714,2.08633588442686,53.5379202501955,70,99,"peptidyl-lysine acetylation"
"18","GO:0010556",0.000483041960112256,1.2543068575312,733.848058378942,783,1357,"regulation of macromolecule biosynthetic process"
"19","GO:0043604",0.00051470330110354,1.49944008958567,167.103205629398,195,309,"amide biosynthetic process"
"20","GO:2000112",0.0005725315836621,1.25049911508245,730.603335939536,779,1351,"regulation of cellular macromolecule biosynthetic process"
"21","GO:0006412",0.000599402866257314,1.52417895818018,149.7980192859,176,277,"translation"
"22","GO:0006605",0.000756430909373644,1.71970039144836,87.0667187907219,107,161,"protein targeting"
"23","GO:0043414",0.000841683629151295,2.17417171434114,43.8037529319781,58,81,"macromolecule methylation"
"24","GO:0043043",0.000860837399467395,1.49297682851507,155.205890018243,181,287,"peptide biosynthetic process"
"25","GO:0006414",0.000960925107389134,1.98584247258225,53.5379202501955,69,99,"translational elongation"
"26","GO:0019080",0.00104505158908407,1.79150565587016,71.3838936669273,89,132,"viral gene expression"
"27","GO:0019083",0.00104505158908407,1.79150565587016,71.3838936669273,89,132,"viral transcription"
"28","GO:0044249",0.00105652094106863,1.22310978805171,1035.06645817045,1083,1914,"cellular biosynthetic process"
"29","GO:0016571",0.00109316453226409,2.7205040091638,27.0393536617149,38,50,"histone methylation"
"30","GO:0018193",0.00111219656337779,1.42105325355214,194.142559291113,222,359,"peptidyl-amino acid modification"
"31","GO:0072594",0.0011205399348028,1.58456188366745,111.402137086265,133,206,"establishment of protein localization to organelle"
"32","GO:0034968",0.00120326159814441,2.91856932876041,23.7946312223091,34,44,"histone lysine methylation"
"33","GO:0018022",0.00120326159814441,2.91856932876041,23.7946312223091,34,44,"peptidyl-lysine methylation"
"34","GO:1901576",0.00123006615796741,1.21948501804617,1037.77039353662,1085,1919,"organic substance biosynthetic process"
"35","GO:0006518",0.00128544608398359,1.45916881053269,161.695334897055,187,299,"peptide metabolic process"
"36","GO:0006614",0.00132345268398858,1.9153879740519,55.7010685431327,71,103,"SRP-dependent cotranslational protein targeting to membrane"
"37","GO:2001141",0.00133012143799675,1.23559709766606,666.249674224655,710,1232,"regulation of RNA biosynthetic process"
"38","GO:0006367",0.0013305313578804,2.01209410205434,48.6708365910868,63,90,"transcription initiation from RNA polymerase II promoter"
"39","GO:0006338",0.00138874225871313,2.17307239414064,40.018243419338,53,74,"chromatin remodeling"
"40","GO:0090304",0.00144466693260073,1.21562306531497,1034.52567109721,1081,1913,"nucleic acid metabolic process"
"41","GO:0034243",0.00147317878426674,5.41845006485084,11.8973156111545,19,22,"regulation of transcription elongation from RNA polymerase II promoter"
"42","GO:0006473",0.00153821963846281,1.88335678300731,56.7826426896013,72,105,"protein acetylation"
"43","GO:1903506",0.00163126402160102,1.23031388475477,665.168100078186,708,1230,"regulation of nucleic acid-templated transcription"
"44","GO:0006355",0.00163126402160102,1.23031388475477,665.168100078186,708,1230,"regulation of transcription, DNA-templated"
"45","GO:0009058",0.00171459493247491,1.21144970357067,1045.3414125619,1091,1933,"biosynthetic process"
"46","GO:0032784",0.00182703768226371,3.93869395711501,15.1420380505603,23,28,"regulation of DNA-templated transcription, elongation"
"47","GO:0043966",0.00182703768226371,3.93869395711501,15.1420380505603,23,28,"histone H3 acetylation"
"48","GO:0006413",0.00189540568758282,1.69438835604913,76.7917643992703,94,142,"translational initiation"
"49","GO:0045047",0.00199134522877737,1.85627230387709,56.241855616367,71,104,"protein targeting to ER"
"50","GO:0072599",0.00199134522877737,1.85627230387709,56.241855616367,71,104,"establishment of protein localization to endoplasmic reticulum"
"51","GO:0070972",0.00204209225124831,1.8247733276219,58.9457909825384,74,109,"protein localization to endoplasmic reticulum"
"52","GO:0044271",0.0023152589207909,1.20591182916488,910.144644253323,954,1683,"cellular nitrogen compound biosynthetic process"
"53","GO:0051568",0.00266589107204801,4.27737226277372,12.9788897576231,20,24,"histone H3-K4 methylation"
"54","GO:0006352",0.00293757807914017,1.80063402606552,56.7826426896013,71,105,"DNA-templated transcription, initiation"
"55","GO:0006613",0.00293757807914017,1.80063402606552,56.7826426896013,71,105,"cotranslational protein targeting to membrane"
"56","GO:0043170",0.00341433429183735,1.21374865735768,1455.25801407349,1494,2691,"macromolecule metabolic process"
"57","GO:0006368",0.00343919938972444,2.14778325123153,34.0695856137608,45,63,"transcription elongation from RNA polymerase II promoter"
"58","GO:0008213",0.00380643167229463,2.17215724872626,32.4472243940579,43,60,"protein alkylation"
"59","GO:0006479",0.00380643167229463,2.17215724872626,32.4472243940579,43,60,"protein methylation"
