"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0010467",6.44388505261031e-12,1.57266203184571,744.51394318478,847,1925,"gene expression"
"2","GO:0006412",1.0450699407428e-10,2.23691648605143,107.132655720615,158,277,"translation"
"3","GO:0006518",6.11749470684343e-10,2.10229671295081,115.64138649987,166,299,"peptide metabolic process"
"4","GO:0016070",7.01300752147692e-10,1.49992025109512,674.510294500912,766,1744,"RNA metabolic process"
"5","GO:0043043",8.5713995743785e-10,2.11813402478769,111.000260620276,160,287,"peptide biosynthetic process"
"6","GO:0019080",3.19712049920734e-09,2.88125,51.0523846755278,84,132,"viral gene expression"
"7","GO:0019083",3.19712049920734e-09,2.88125,51.0523846755278,84,132,"viral transcription"
"8","GO:0043604",8.20774443355747e-09,1.97438159709968,119.508991399531,167,309,"amide biosynthetic process"
"9","GO:0006413",9.1070051100275e-09,2.68375252042874,54.9199895751889,88,142,"translational initiation"
"10","GO:0034645",2.89074857376657e-08,1.43793178253179,679.924941360438,762,1758,"cellular macromolecule biosynthetic process"
"11","GO:0006605",3.20984982231018e-08,2.43458213256484,62.2684388845452,96,161,"protein targeting"
"12","GO:0006414",3.46131886004664e-08,3.12430046014177,38.2892885066458,65,99,"translational elongation"
"13","GO:0016071",3.64942807535484e-08,1.68908054848087,194.153765962992,250,502,"mRNA metabolic process"
"14","GO:0006614",3.70297907654778e-08,3.04318591703913,39.8363304665103,67,103,"SRP-dependent cotranslational protein targeting to membrane"
"15","GO:0009059",3.78679824762174e-08,1.43318903318903,682.632264790201,764,1765,"macromolecule biosynthetic process"
"16","GO:0070972",3.98507308692401e-08,2.93729372937294,42.156893406307,70,109,"protein localization to endoplasmic reticulum"
"17","GO:0090304",6.36534264767179e-08,1.42362680364642,739.872817305186,820,1913,"nucleic acid metabolic process"
"18","GO:0045047",6.54306997173118e-08,2.95965973030193,40.2230909564764,67,104,"protein targeting to ER"
"19","GO:0072599",6.54306997173118e-08,2.95965973030193,40.2230909564764,67,104,"establishment of protein localization to endoplasmic reticulum"
"20","GO:0006613",1.13654623848987e-07,2.88052965865617,40.6098514464425,67,105,"cotranslational protein targeting to membrane"
"21","GO:0032984",1.78402577049212e-07,2.52136752136752,51.0523846755278,80,132,"protein-containing complex disassembly"
"22","GO:0072594",2.25137142394155e-07,2.08807262861317,79.6726609330206,115,206,"establishment of protein localization to organelle"
"23","GO:0043603",2.95623534280805e-07,1.7726336323197,133.819129528277,178,346,"cellular amide metabolic process"
"24","GO:0034641",4.75315223230321e-07,1.39418457648546,845.458431065937,919,2186,"cellular nitrogen compound metabolic process"
