"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0055085",6.86448481189637e-06,1.91477085935959,56.9924420119885,86,220,"transmembrane transport"
"2","GO:0034762",2.24078870941852e-05,2.84142857142857,17.8749022673964,34,69,"regulation of transmembrane transport"
"3","GO:0015711",3.58115905604213e-05,2.92004153686397,16.0615063851968,31,62,"organic anion transport"
"4","GO:0046486",4.78319766852356e-05,2.91804979253112,15.5433932759969,30,60,"glycerolipid metabolic process"
"5","GO:0006811",5.53578036631183e-05,1.75616694075292,61.3964034401876,88,237,"ion transport"
"6","GO:0048193",8.92712562990925e-05,2.34213836477987,23.3150899139953,40,90,"Golgi vesicle transport"
"7","GO:0034764",0.000184251538925872,4.10499829409758,7.51264008339849,17,29,"positive regulation of transmembrane transport"
"8","GO:0006820",0.000204443715677236,2.30000666977923,21.7607505863956,37,84,"anion transport"
"9","GO:0015682",0.00047759779110026,20.1560283687943,2.07245243679958,7,8,"ferric iron transport"
"10","GO:0072512",0.00047759779110026,20.1560283687943,2.07245243679958,7,8,"trivalent inorganic cation transport"
"11","GO:0033572",0.00047759779110026,20.1560283687943,2.07245243679958,7,8,"transferrin transport"
"12","GO:0006835",0.000667176125644086,4.95082921152168,4.92207453739901,12,19,"dicarboxylic acid transport"
"13","GO:0000041",0.00074275120218155,4.04714285714286,6.21735731039875,14,24,"transition metal ion transport"
"14","GO:1902600",0.000975771487849696,4.17283950617284,5.69924420119885,13,22,"proton transmembrane transport"
"15","GO:0010828",0.00105181807074271,5.76829268292683,3.88584831899922,10,15,"positive regulation of glucose transmembrane transport"
"16","GO:0046326",0.00105181807074271,5.76829268292683,3.88584831899922,10,15,"positive regulation of glucose import"
"17","GO:0051875",0.00115805573152559,Inf,1.29528277299974,5,5,"pigment granule localization"
"18","GO:0051905",0.00115805573152559,Inf,1.29528277299974,5,5,"establishment of pigment granule localization"
"19","GO:0015893",0.00118795437658263,3.30587204206836,7.77169663799844,16,30,"drug transport"
"20","GO:0061024",0.00123879607783393,1.76329581682929,36.5269741985926,53,141,"membrane organization"
"21","GO:0034220",0.00126776503762494,1.83169306582189,31.6048996611936,47,122,"ion transmembrane transport"
